file,family,source_icon_id,old_category,new_category,status,how
solo/_draft_crossed_stockinged_legs_f422872b_42cf_4b74_aa1f_bf870f557d7a.py,solo,f422872b-42cf-4b74-aa1f-bf870f557d7a,objects,primitives-generate,changed,pictoicon
solo/_draft_diagonal_pair_of_meshing_gears_b484255b_2a40_40d1_9943_7e27cfb9f399.py,solo,b484255b-2a40-40d1-9943-7e27cfb9f399,Uncategorized,primitives-generate,changed,pictoicon
solo/_draft_double_hexagon_with_center_circle_c9953fdc_3825_4f26_8597_533126256825.py,solo,c9953fdc-3825-4f26-8597-533126256825,Uncategorized,primitives-generate,changed,pictoicon
solo/_draft_four_stud_perspective_toy_brick_8c0da42a_e577_481a_a50e_84f0e8648aae.py,solo,8c0da42a-e577-481a-a50e-84f0e8648aae,Uncategorized,primitives-generate,changed,pictoicon
solo/_draft_hexagonal_network_with_four_nodes_34f87da9_e584_47f7_8fe0_ca66e9aa7da9.py,solo,34f87da9-e584-47f7-8fe0-ca66e9aa7da9,objects,primitives-generate,changed,pictoicon
solo/_draft_left_profile_brain_6e501462_4458_4ee8_918b_3b9b1c8dded4.py,solo,6e501462-4458-4ee8-918b-3b9b1c8dded4,Uncategorized,primitives-generate,changed,pictoicon
solo/_draft_lobster_with_broad_open_pincers_813ecb4a_07a5_40d2_a4dc_2d3842c2a9f0.py,solo,813ecb4a-07a5-40d2-a4dc-2d3842c2a9f0,objects,primitives-generate,changed,pictoicon
solo/_draft_lobster_with_pointed_closed_claws_f4812ef0_fce6_4380_9124_384916ee103d.py,solo,f4812ef0-fce6-4380-9124-384916ee103d,objects,primitives-generate,changed,pictoicon
solo/_draft_martini_glass_with_skewered_olive_96c9812c_13cb_4856_884d_c1360a6bd316.py,solo,96c9812c-13cb-4856-884d-c1360a6bd316,objects,primitives-generate,changed,pictoicon
solo/_draft_nested_interrupted_curved_bands_e89d9bcb_0e93_4a07_abd4_7740608fbbd7.py,solo,e89d9bcb-0e93-4a07-abd4-7740608fbbd7,Uncategorized,primitives-generate,changed,pictoicon
solo/_draft_person_sheltering_beneath_shaking_table_8d2595e2_135f_48bd_8886_08c5da475869.py,solo,8d2595e2-135f-48bd-8886-08c5da475869,Uncategorized,primitives-generate,changed,pictoicon
solo/_draft_right_profile_folded_brain_0231a044_ecb1_470e_bcc3_8a45ccdc5d4a.py,solo,0231a044-ecb1-470e-bcc3-8a45ccdc5d4a,Uncategorized,primitives-generate,changed,pictoicon
solo/_draft_suitcase_below_a_floating_round_gauge_ee2a071e_6904_4d7d_a879_a7315aec3bd6.py,solo,ee2a071e-6904-4d7d-a879-a7315aec3bd6,objects,primitives-generate,changed,pictoicon
solo/_draft_three_labeled_ring_binders_42cdb953_b64a_446a_9e2f_0a5e1116e601.py,solo,42cdb953-b64a-446a-9e2f-0a5e1116e601,Uncategorized,primitives-generate,changed,pictoicon
solo/_draft_toy_brick_with_four_top_studs_8c0da42a_e577_481a_a50e_84f0e8648aae.py,solo,8c0da42a-e577-481a-a50e-84f0e8648aae,objects,primitives-generate,changed,pictoicon
solo/_draft_two_interlocking_toothed_wheels_82c1163c_aaf6_4c80_9120_18bf38090361.py,solo,82c1163c-aaf6-4c80-9120-18bf38090361,Uncategorized,primitives-generate,changed,pictoicon
solo/a_615e9ffb_b53e_40a6_9ba6_86b05b552fd0.py,solo,615e9ffb-b53e-40a6-9ba6-86b05b552fd0,objects/general,typeface,changed,pictoicon
solo/a_79c9f630_25fd_42e0_b4e7_486218ea118b.py,solo,79c9f630-25fd-42e0-b4e7-486218ea118b,objects/general,typeface,changed,pictoicon
solo/a_frame_church_952eb7e7_bc22_4bf3_8ff7_c8b1b16068c9.py,solo,952eb7e7-bc22-4bf3-8ff7-c8b1b16068c9,places/landmarks,landmarks,changed,pictoicon
solo/a_with_sync_arrow_8d0a0eeb_161b_49dd_b5f6_5bcfc4e716d9.py,solo,8d0a0eeb-161b-49dd-b5f6-5bcfc4e716d9,objects/reference,primitives-generate,changed,pictoicon
solo/abacus_two_rods_four_beads_3e0c58ee_89fe_5606_bc32_74e6c6fb8f64.py,solo,3e0c58ee-89fe-5606-bc32-74e6c6fb8f64,objects/finance,finance,changed,pictoicon
solo/abdominal_muscles_f0cd4e6f_1122_5771_9365_6e2de2d2838e.py,solo,f0cd4e6f-1122-5771-9365-6e2de2d2838e,objects/sports,sports,changed,pictoicon
solo/abdominal_torso_fe2c5615_5889_4c3c_a4e8_04f1b7668304.py,solo,fe2c5615-5889-4c3c-a4e8-04f1b7668304,objects/sports,sports,changed,pictoicon
solo/about_me_logo_e586f7da_06cf_42e6_ba54_28bde6b69e14.py,solo,e586f7da-06cf-42e6-ba54-28bde6b69e14,brands/logos,logos,changed,pictoicon
