0	Vertical Object Centering	A tall upright rounded block crosses a horizontal guide. A downward arrow above the guide at left and an upward arrow beneath the block point toward its middle.	alignment,center,vertical,object,guide,layout,arrows
1	Unequal Blocks on a Center Guide	Two upright rounded blocks of unequal height sit side by side with their centers on one horizontal line. The taller block is on the left and the shorter block on the right.	alignment,center,blocks,layout,guide,vertical,objects
2	Woman Wearing a Face Mask	A front-facing head is framed by a smooth bob haircut with outward-curving ends and a central part. A mask covers the lower face, with its upper edge rising over the nose.	woman,mask,face,hair,bob,portrait,health
3	Objects Moving to a Top Guide	Two upright rounded blocks of different heights stand below a horizontal guide. Upward arrows flank the blocks, pointing toward the shared top edge above them.	alignment,top,blocks,arrows,layout,up,guide
4	Outside Corner Stroke Alignment	A broad L-shaped outline has a right-angled inward step near its upper-right area. A small outlined square straddles that inner corner, interrupting the adjoining vertical and horizontal edges.	alignment,stroke,corner,outline,square,layout,design
5	Arrow Embedded in a Circular Target	Three concentric circular target rings open around a diagonal arrow entering from the upper right. The arrow shaft reaches the center, with a broad rounded fletching at its outer end.	target,arrow,bullseye,archery,aim,rings,dart
6	Square-Centered Ring Network	Six circular nodes sit at evenly spaced points around a large circular connecting ring. A separate square occupies the center, with the composition balanced around the ring's vertical axis.	network,ring,nodes,hub,square,connections,topology
7	Cloud Connected to a Two-Tier Terminal	An open-bottom cloud rises above a two-tier rounded terminal. Two vertical leads of unequal height extend from the terminal into the cloud, each ending in a small circular node.	cloud,network,terminal,connection,nodes,computing,server
8	Cloud with Descending Trails	An asymmetrical two-lobed cloud opens along its lower edge. Three narrow vertical trails descend through that opening, with the central trail broken into separate upper and lower segments.	cloud,trail,stream,vertical,computing,flow,weather
9	Code Between Pipeline Rails	Two tall vertical rails with short outward end ticks flank a central code mark. The code consists of opposing angle brackets around a forward slash.	code,pipeline,rails,brackets,programming,slash,frame
10	Code Panel and Branching Revision Graph	A three-node vertical chain at left branches through a fourth node into an upward-left arrow. Beside it, an open rounded panel surrounds a code mark composed of two angle brackets and a slash.	code,branch,revision,nodes,version,programming,panel
11	Coffee Cup with Falling Sugar Cubes	A broad round-bottomed cup has a loop handle attached on the left and two short marks across its upper body. Two small square sugar cubes hover above the open rim at different heights.	coffee,cup,sugar,cubes,drink,handle,beverage
