0|Shuttle Minibus|shuttle-minibus|A minibus in side view has a long rounded roof, a sloping front windscreen, and two circular wheels. A horizontal window band is divided into panes, with a vertical door seam behind the front wheel.|minibus,shuttle,bus,transport,vehicle,passenger
1|Open Ceramic Mug|open-ceramic-mug|An upright mug has a broad oval opening above tall sides that curve into a flat bottom. A large rounded handle joins the right side near the rim and lower body.|mug,cup,ceramic,drink,handle,coffee
2|Long-Legged Mosquito|long-legged-mosquito|A mosquito seen from above has a round head, small thorax, and long pointed abdomen. Two broad wings spread diagonally outward, with angular legs extending above and below the body.|mosquito,insect,wings,legs,bug,nature
3|Mountain Bicycle|mountain-bicycle|A bicycle in side view has two large circular wheels joined by an angular frame. A short saddle rises above the rear wheel, while the front fork connects to a curved handlebar.|bicycle,bike,cycling,wheels,transport,mountain
4|Rounded Hill|rounded-hill|A single broad hill rises from a straight horizontal base into a smooth rounded summit. Its sloping sides spread outward evenly and curve gently where they meet the lower corners.|hill,mound,landscape,terrain,summit,mountain
5|Swimming Minnow|swimming-minnow|A fish faces right with an oval body tapering toward its pointed head and forked tail. A curved gill line marks the face, and small fins project above and below the body.|fish,minnow,swimming,aquatic,fins,tail
6|Monocle with Cord|monocle-with-cord|A large circular lens is outlined by a thin round rim. A cord begins at the lower right edge, curves outward, and hangs vertically well below the bottom of the lens.|monocle,lens,eyewear,cord,vision,optical
7|Standing Mink|standing-mink|A small mink faces right with a long low body and an upright neck ending in a tapered muzzle. A dot marks the eye, two bent legs support it, and a short tail extends left.|mink,animal,mammal,wildlife,tail,standing
8|Smart Television Remote|smart-television-remote|A tall remote control has rounded corners and a horizontal division across its middle. Circular buttons occupy both sections, beside a long vertical rocker below and a short horizontal mark above.|remote,television,controller,buttons,electronics,smart
9|Phone with Dollar Sign|phone-dollar-review|An upright phone has a tall rounded screen containing a large dollar sign. A horizontal divider forms the bottom control strip, where a short centered dash marks the home control.|phone,dollar,money,screen,mobile,currency
10|Phone with Circular Home Button|phone-circular-home-button|A tall smartphone has rounded outer corners and a large blank screen between narrow top and bottom bands. A small circular home button sits at the center of the lower band.|phone,smartphone,screen,mobile,device,button
11|Phone and Stethoscope|phone-stethoscope-review|A tall rounded phone sits between the upward ends of a stethoscope. The tubing curves beneath the phone, then loops down and right toward a round chestpiece beside its lower edge.|phone,stethoscope,medical,device,health,tubing
12|Curved Roof Tile Array|curved-roof-tile-array|A tapered roof panel contains three columns of curved tiles. Vertical seams run down the slope, while repeated arched edges divide the rows and form a scalloped lower edge.|roof,tiles,roofing,architecture,building,clay
13|Overlapping Documents with Plus|documents-plus-review|Two upright pages overlap, with the front page shifted down and right. Its upper right corner is clipped diagonally, and a large plus sign sits in the middle of the blank face.|document,pages,plus,add,paper,files
14|Broad-Antlered Moose|broad-antlered-moose|A moose faces right with a long level back and two thick legs ending in rounded feet. Its large drooping muzzle sits below a broad antler with several rounded upward tines.|moose,antlers,animal,wildlife,mammal,standing
15|Left-Facing Woolly Sheep|left-facing-woolly-sheep|A sheep faces left with a scalloped woolly body supported by two short legs. Its rounded head projects forward, a curved ear droops beside the face, and a small dot marks the eye.|sheep,wool,livestock,farm,animal,mammal
16|Steaming Rounded Mug|steaming-rounded-mug|An upright mug has a straight open top, tall sides, and a deeply rounded bottom. A rounded handle projects to the right, while two short wavy steam trails rise separately above the rim.|mug,coffee,steam,hot,drink,cup
17|Dot Net Ribbon Logo|dot-net-ribbon-logo|A broad outlined ribbon bends into a rounded crest on the left and a rounded trough on the right. Its diagonal rising ends terminate in flat edges, creating a continuous flowing wave.|logo,ribbon,wave,dotnet,brand,symbol
18|Lowercase E Outline|lowercase-e-review|A broad outlined lowercase e has a rounded upper bowl and a horizontal middle bar. Its lower curve sweeps into an open right side, with gaps separating parts of the outer contour.|letter,e,lowercase,alphabet,typeface,outline
19|Three Mint Leaves|three-mint-leaves|Three pointed mint leaves fan from one short upright stem, with the largest leaf in the center. Small serrations interrupt their edges, and branching veins extend from the shared central junction.|mint,leaves,herb,plant,botanical,foliage
20|Scalloped Roof Shingles|scalloped-roof-shingles|A roof panel widens toward its flat lower edge and has rounded outer corners. Overlapping rows of curved shingles fill the panel, with their vertical joins staggered between adjacent rows.|roof,shingles,tiles,building,architecture,pattern
