0	Walking Commuter with Briefcase	A walking figure faces right with separated legs, a forward reaching arm, and a round featureless head. The trailing hand carries a rectangular briefcase with a handle and horizontal division.	person,walking,commuter,briefcase,business,travel,work
1	Oval Twist Wrapped Sweet	An oval sweet tilts from lower left to upper right, with a flared wrapper end projecting from each narrow end. Both wrapper ends have softly folded, uneven outer edges.	candy,sweet,wrapper,confectionery,sugar,treat,food
2	Baby Seated in Rocking Cradle	A round headed baby rises above the broad front panel of a cradle. Tall rounded end posts curve into the bed beneath, which rests on an arched rocking base.	baby,cradle,rocking,infant,nursery,bed,child
3	Three Round Berries on Stem	Three round berries cluster around a slim upright stem, with the lowest berry overlapping the other two. A single pointed leaf extends to the upper left beside a curved stem tip.	berry,fruit,stem,leaf,cluster,plant,food
4	Three Petal Crocus on Stem	A flower has three upright pointed petals, with two curved outer petals meeting around a taller central petal. Its straight stem descends between two pointed leaves spreading outward near the base.	flower,crocus,petal,stem,leaf,plant,bloom
5	Calligraphy Nib Beside Ink Stroke	A pointed calligraphy nib slopes down toward the left, with a central slit extending back from its tip. Beside it, a long ink stroke bends downward into a curled lower end.	calligraphy,nib,pen,ink,writing,stroke,lettering
6	Plain Book with Rounded Spine	A closed upright book has a broad blank cover and rounded outer corners. A low horizontal edge curves into the left spine, separating the cover from the visible page block below.	book,cover,spine,pages,reading,library,closed
7	Looped Cord and Two Pin Plug	A long power cord doubles back through broad flattened loops before reaching a rounded plug below. Two parallel pins project to the right from the plug's flat front edge.	cord,cable,plug,electric,power,loop,connector
8	Upholstered Seat with Rounded Arms	A broad upholstered seat faces forward, with a rounded rectangular back rising behind two thick curved arms. A horizontal cushion sits between the arms above a continuous base and short legs.	seat,sofa,armchair,furniture,cushion,living,upholstery
9	Lidded Pot with Rising Steam	A deep cooking pot has a gently tapered body, a rounded bottom, and short handles extending sideways. Its domed lid carries a central knob, with two curling steam lines rising above.	pot,cooking,lid,steam,kitchen,hot,cookware
10	Tapered Cream Tube with Cap	An upright cream tube narrows toward a short rounded cap at the bottom. A horizontal seam runs beneath the broad sealed top, while the main tube surface remains blank.	cream,tube,cosmetic,cap,skincare,container,toiletry
11	Three Lobed Cotton Boll	A cotton boll forms three broad rounded lobes above a slender stem. Short diagonal branches rise into the lower sides of the boll, meeting near its open bottom edge.	cotton,boll,stem,plant,fiber,crop,agriculture
12	Long Snouted Coyote Head	A coyote head faces right with two tall pointed ears, a sloping forehead, and a long rounded muzzle. A tiny eye sits above the cheek, and the neck extends downward.	coyote,canine,head,animal,wildlife,ears,muzzle
13	Cricket Bat Beside Round Ball	A cricket bat lies diagonally from lower left to upper right, its broad flat blade narrowing into a long rounded handle. A separate circular ball sits beside the blade's lower half.	cricket,bat,ball,sport,equipment,blade,game
14	Cricket Batter with Raised Bat	A round headed cricket player stands with bent legs and the body angled forward. Both arms reach toward a bat raised diagonally to the upper right beside the player.	cricket,batter,player,bat,sport,person,stance
15	Tiered Cruise Ship on Water	A ship faces forward with a broad flared hull and a wavy waterline across its base. Three progressively narrower deck structures rise centrally above the hull in a balanced stack.	ship,cruise,boat,vessel,water,deck,travel
16	Upright Cylindrical Cork Stopper	An upright cork has a cylindrical body with an elliptical top and curved bottom edge. Small scattered vertical marks suggest its surface texture, with a short curved mark on top.	cork,stopper,bottle,wine,cylinder,seal,material
17	Piping a Smiling Cookie	A round cookie has two circular eyes and a broad curved smile. A piping nozzle enters diagonally from the upper right, overlapping a gap in the cookie's outer edge.	cookie,icing,piping,baking,smile,decoration,pastry
18	Diagonal Crayon with Wrapper Bands	A long crayon angles upward to the right, ending in a rounded pointed tip. Bands divide the tip and lower end from the central wrapper along its straight sided body.	crayon,wax,drawing,color,art,wrapper,stationery
19	Sweetheart Bodice Ball Gown	A strapless gown has a small fitted bodice with a dipped sweetheart neckline. Its narrow waist opens into a broad bell shaped skirt with curved sides and a gently arched hem.	gown,dress,ball,clothing,skirt,bodice,formal
20	Five Petal Flower with Side Leaf	A five petal flower surrounds a round central disk at the top of a straight stem. A single pointed leaf curves outward from the lower left side of the stem.	flower,petals,leaf,stem,bloom,plant,garden
21	Folded Crepe with Exposed Filling	A folded crepe forms a tapered pocket with a rounded lower point and overlapping curved flaps. An uneven mound of filling rises above the opening, marked by two short curved strokes.	crepe,dessert,food,folded,filling,pastry,snack
22	Wide Knot Formal Necktie	A necktie hangs vertically from a broad rounded knot. The long tie widens toward its lower half before narrowing into a central point, with both sides arranged around the upright center.	necktie,tie,knot,formal,clothing,business,accessory
23	Three People with Central Foreground Figure	Three round headed people face forward, with a larger central figure overlapping two smaller companions. Rounded shoulder and torso outlines frame each blank head, and the central body closes across its base.	people,group,team,person,community,profile,together
24	Two People with Curved Necklines	Two featureless round heads sit above overlapping broad shoulders. The front figure stands slightly to the left, and both torsos have curved necklines and inward turns near their lower edges.	people,pair,person,group,shoulders,profile,together
25	Handcuff Pair with Separate Key	Two rounded handcuffs hang at different angles from a looping connector. Each cuff has a circular opening and raised lock section, while a small round headed key lies at the lower right.	handcuffs,key,restraint,lock,security,cuff,police
26	Open Hands Beneath Hexagonal Pendant	Two upward facing hands flank a hanging necklace with a hexagonal pendant. The necklace cord curves down from above into the pendant's short connector, while the fingers rise along its sides.	hands,necklace,pendant,jewelry,hexagon,holding,accessory
27	Blank Skull with Divided Teeth	A skull has a broad domed cranium, rounded cheek edges, and a narrow lower jaw. Two vertical lines divide the teeth area, while the large upper face remains completely blank.	skull,cranium,jaw,teeth,bone,head,skeleton
28	Pointed Helmet with Central Cross	A pointed helmet has a domed crown separated from the lower faceplate by a horizontal line. Its sides taper toward a curved bottom point, and a small cross sits centrally on the faceplate.	helmet,knight,cross,armor,medieval,faceplate,headwear
29	Lobster with Pointed Closed Claws	A lobster faces upward with two long antennae, a narrow oval body, and raised pointed claws. Three angular legs extend from each side, while a banded tail ends in two rounded lobes.	lobster,crustacean,claws,seafood,antennae,tail,animal
30	Lobster with Broad Open Pincers	A lobster has large raised pincers with deep notches, long curved antennae, and a narrow central body. Curving side legs spread outward above a segmented tail ending in three rounded fan sections.	lobster,pincers,crustacean,seafood,antennae,tail,marine
31	Pick Entering Open Padlock	A rounded rectangular padlock has an open curved shackle above it. A handled pick approaches diagonally from the lower left and bends into the vertical keyhole on the lock's face.	padlock,pick,lockpicking,keyhole,shackle,tool,security
32	Rounded Lower Left Corner	A long vertical line descends along the left before rounding smoothly into a horizontal baseline extending right. The two open arms form a single lower left corner with an empty interior.	corner,angle,line,border,left,bottom,geometry
33	Underarm Crutch with Broad Support	A single crutch stands upright with a broad rounded underarm support. Two sides descend and converge toward a slender lower shaft, which ends in a small capped foot.	crutch,mobility,walking,support,medical,aid,underarm
34	Piping Nozzle Above Icing Dollop	A pastry nozzle points down and left above a rounded dollop with a curled pointed peak. The nozzle joins a wider piping bag extending out toward the upper right.	piping,icing,nozzle,pastry,baking,dollop,cream
35	Walker Crossing Dashed Border Toward Flag	A walking person strides right across a diagonal dashed boundary. A small triangular flag stands ahead at the upper right, while the person's forward arm reaches toward that side.	walking,border,flag,person,crossing,boundary,travel
36	Person with Close Fitting Cap	A front facing person has a round blank face beneath a domed cap with a curved lower edge. A separate broad torso with rounded shoulders and bottom corners sits below the head.	person,cap,headwear,profile,bust,shoulders,portrait
37	Hallway with Distant Doorway	A hallway recedes toward a rectangular end wall with a narrow central doorway. Diagonal ceiling and floor edges converge at that wall, creating a balanced view along the empty passage.	hallway,corridor,doorway,perspective,interior,room,architecture
