0	Palm Supporting a Soft Lobed Shape	A horizontal hand extends from the left with its palm facing upward and rounded fingertips pointing right. Above it floats a soft three-lobed shape, accompanied by two short curved motion marks.	hand,palm,dough,soft,shape,play,holding
1	Pointing Finger with a Falling Drop	A hand points to the right with a long extended index finger and an upturned thumb. The remaining fingers curl into the palm, while a teardrop hangs beneath the fingertip.	finger,hand,drop,bleeding,pointing,injury,medical
2	Two Columns Beneath a Width Arrow	Two upright rectangular columns sit side by side, each divided horizontally into two cells. A long double-headed horizontal arrow spans above them, with its tips pointing outward.	columns,width,resize,arrow,cells,layout,horizontal
3	Spinal Column with Three Paired Processes	A thick upright central column has rounded upper and lower ends. Three matching pairs of rounded lateral projections extend from its sides at evenly spaced heights.	spine,backbone,column,anatomy,vertebrae,body,processes
4	Rounded Machine Frame with a Gear	A tall rounded frame stands on a broad low base and encloses a smaller open inner frame. A toothed gear with a circular center overlaps the frame's lower-right side and a horizontal interior ledge.	machine,frame,gear,saw,mechanical,base,workshop
5	Padded Infant Car Seat	A deep infant seat has a rounded high back surrounded by a thick protective rim. Curved padded sections and a central dividing line converge toward the bottom, between broad raised side supports.	car seat,infant,baby,padding,safety,seat,support
6	Person with Head Bandage and Arm Sling	A round-headed bust has a diagonal bandage across the forehead. One bent arm rests inside a broad triangular sling suspended from the neck, while the opposite shoulder curves down at the right.	bandage,sling,injury,person,head,arm,medical
7	Veiled Head Beneath a Domed Cap	A rounded cap with a straight lower edge sits above a plain U-shaped face outline. Two long sloping veil edges descend on either side, separated from the cap by small gaps.	veil,head,cap,covered,portrait,headwear,niqab
8	Knotted Triangular Neck Bandana	A pointed triangular cloth hangs below a broad curved upper fold. At the top, a small central knot joins two pointed ends that spread diagonally upward to the left and right.	bandana,knot,cloth,neckwear,triangle,scarf,fold
9	Lower Leg Resting in a Support	A cropped lower leg descends into a rounded heel above a left-facing foot. Horizontal support lines surround the foot, with a lower rail curving upward at the right.	leg,foot,support,traction,heel,medical,injury
10	Low Oval Bread Loaf	A broad loaf has a gently domed top, rounded ends, and a flat lower edge. Three curved scoring marks descend from the upper outline across the left and middle portions.	bread,loaf,bakery,scoring,food,oval,crust
11	Two-Wheel Cart with a Marked Suitcase	A luggage cart has a tall curved handle on the left and a low horizontal platform above two round wheels. A broad suitcase with a top handle and two short face marks rests on it.	luggage,cart,suitcase,handle,wheels,travel,baggage
12	Traveler Reaching Toward a Conveyor Bag	A round-headed person leans forward from the left with a bent arm extended toward a suitcase. The handled bag sits above the rounded left end of a horizontal conveyor belt.	traveler,luggage,conveyor,bag,person,airport,drop-off
13	Strapped Suitcase Above a Conveyor	A broad rounded suitcase has a raised top handle and two vertical bands across its face. It sits just above a horizontal conveyor with a rounded return curve on the left.	suitcase,conveyor,bands,handle,luggage,airport,travel
14	Plain Suitcase on a Curved-Handle Trolley	A simple handled suitcase rests on a trolley's flat platform. The trolley frame curves upward into a tall handle at left, with two small round wheels separated below the base.	trolley,suitcase,luggage,wheels,handle,travel,cart
15	Trolley Carrying Two Unequal Bags	A trolley carries a short handled suitcase beside a taller upright bag with a lower band. Its frame rises into a curved handle on the left, and two wheels sit below the long platform.	trolley,bags,luggage,suitcases,wheels,travel,cart
16	Banded Suitcase on a Raised Dial Scale	A small suitcase with two vertical bands rests above a wide weighing platform. A tall post on the right supports a circular dial, whose short pointer has a small enclosed base.	suitcase,scale,dial,weight,platform,luggage,baggage
17	Suitcase Below a Floating Round Gauge	A compact suitcase with a top handle and two horizontal face marks stands on a thin baseline. A large circular gauge with a diagonal pointer floats directly above it.	luggage,scale,gauge,weight,suitcase,needle,baggage
18	Diagonal Bacterium with Two Inner Circles	A rounded capsule-shaped bacterium tilts from lower left to upper right. Short straight projections radiate from its edge, and two small circular inclusions lie along its central length.	bacterium,cell,microbe,capsule,projections,biology,circles
19	Woman Standing Beside a Baby Carriage	A small standing figure with curved hair and a flared dress appears at left. A round-bodied baby carriage with an upright hood and two tiny wheels stands separately to her right.	woman,carriage,baby,stroller,parent,person,scene
20	Twin Peaks Inside a Rounded Hill Emblem	A broad rounded hill outline encloses two angular mountain peaks of unequal height. Their sloping sides meet the curved lower boundary, joining the inner landscape to the outer shape.	mountains,peaks,hill,landscape,emblem,basecamp,outline
21	Nose Poised Above an Open Palm	A large nose appears in side profile above an upward-facing hand. The hand extends from a rectangular cuff on the left, with a curved palm and raised fingertip pointing right.	nose,hand,palm,smell,scent,profile,senses
22	Person Seated at a Straight Desk	A round-headed person sits behind a long horizontal tabletop with one bent arm resting on it. A curved seated thigh and downward-bent lower leg are visible between the table's two straight legs.	person,desk,seated,table,work,chair,posture
23	Standing Person Wearing an Arm Sling	A round head sits above a broad torso with one arm hanging down. The other arm bends across the chest, supported by a triangular sling whose strap rises to the opposite shoulder.	person,sling,arm,injury,medical,standing,recovery
24	Resealable Pouch with a Wide Top Seal	An upright rectangular pouch has straight sides, softly rounded bottom corners, and a flat top edge. A horizontal seam near the top forms a broad sealed band across its plain face.	pouch,bag,resealable,seal,plastic,storage,packaging
